ruta | sha256_servidor | sha256_repositorio | MATCH/DIFF
assets/css/nvx-pages.min.css | abdf497815fe52ee3a34a7b27d0103fa3080a3f126f23e8075cb09f280ef36f7 | abdf497815fe52ee3a34a7b27d0103fa3080a3f126f23e8075cb09f280ef36f7 | MATCH
assets/css/nvx-posts.css | 2d748022fa90705f9b28032eac58f87c9afe11fe9467faee8c374e806dad3e6f | 2d748022fa90705f9b28032eac58f87c9afe11fe9467faee8c374e806dad3e6f | MATCH
assets/css/nvx-posts.min.css | 2d748022fa90705f9b28032eac58f87c9afe11fe9467faee8c374e806dad3e6f | 2d748022fa90705f9b28032eac58f87c9afe11fe9467faee8c374e806dad3e6f | MATCH
assets/css/nvx-responsive.css | cc2f818f5fb1384188291c1fd2e73b20794bc6d2f748c08428eb318a28d9802c | cc2f818f5fb1384188291c1fd2e73b20794bc6d2f748c08428eb318a28d9802c | MATCH
assets/css/nvx-responsive.min.css | cc2f818f5fb1384188291c1fd2e73b20794bc6d2f748c08428eb318a28d9802c | cc2f818f5fb1384188291c1fd2e73b20794bc6d2f748c08428eb318a28d9802c | MATCH
assets/css/nvx-secondary-pages.css | d18050a3001f4e74139abd182d704e44c6f4cba5fb78218500f10e90cda5144a | d18050a3001f4e74139abd182d704e44c6f4cba5fb78218500f10e90cda5144a | MATCH
assets/css/nvx-secondary-pages.min.css | dcc0e12467644c04f4c95cfa15632e37bdd5477b734bab7c63a0513cc9342ce5 | dcc0e12467644c04f4c95cfa15632e37bdd5477b734bab7c63a0513cc9342ce5 | MATCH
assets/css/nvx-sede-page.css | ab4eebe9203d0b071d98f0bed9059084caa82e52f5d56fc30d260f26499210f4 | ab4eebe9203d0b071d98f0bed9059084caa82e52f5d56fc30d260f26499210f4 | MATCH
assets/css/nvx-sede-page.min.css | ab4eebe9203d0b071d98f0bed9059084caa82e52f5d56fc30d260f26499210f4 | ab4eebe9203d0b071d98f0bed9059084caa82e52f5d56fc30d260f26499210f4 | MATCH
assets/css/nvx-site-layout.css | 138736fd2bd28dee21b7412c26e9226f421c10a86dcb6db3b2019ba550badeb6 | 138736fd2bd28dee21b7412c26e9226f421c10a86dcb6db3b2019ba550badeb6 | MATCH
