[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Descriptors/ParamDescValidation.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Descriptors/ParamDescPlugins.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Descriptors/ParamDescNewAdmin.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Descriptors/ParamDescController.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/Descriptors/ParamDescConfigs.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Params/PrmMng.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Core/Bootstrap.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Models/ImportUser.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/src/Models/ScanInfo.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/index.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/ctrl.base.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/.htaccess >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/classes/class.ctrl.extraction.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/classes/class.ctrl.s0.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/classes/class.ctrl.s3.funcs.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/classes/class.ctrl.params.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/classes/class.ctrl.ajax.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/classes/class.ctrl.s4.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/ctrls/classes/class.ctrl.dbinstall.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/pro01_favicon-32x32.png >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/pro01_safari-pinned-tab.svg >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/pro01_favicon-16x16.png >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/pro01_android-chrome-256x256.png >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/pro01_favicon.ico >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/pro01_apple-touch-icon.png >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/browserconfig.xml >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/site.webmanifest >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/pro01_mstile-150x150.png >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/favicon/pro01_android-chrome-192x192.png >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/index.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/main.installer.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/classes/chunk/Iterators/Interfaces/EventIterator.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/classes/chunk/Iterators/Interfaces/GenericSeekableIterator.php >>> /home/customer/www/nuvanx.com/public_html
[Jan 8 15:15:08] Success: dup-installer/classes/chunk/Iterators/class.s3.iterator.php >>> /home/customer/www/nuvanx.com/public_html
